country,pollution index,exp pollution index
Mongolia,93.06,170.75
Myanmar,92.25,168.03
Afghanistan,91.91,165.57
Bangladesh,88.3,158.96
Lebanon,87.39,155.98
Nigeria,87.37,156.5
Vietnam,87.13,156.2
Egypt,86.48,154.43
Nepal,84.98,151.46
Monaco,84.74,156.08
Peru,83.8,149.76
China,81.91,148.92
Macedonia,80.85,147.31
Ethiopia,80.44,142.03
Jordan,80.39,142.27
Cambodia,80.03,141.86
Iran,79.35,145.47
Iraq,79.32,140.01
Azerbaijan,78.32,137.95
Dominican Republic,77.43,136.22
Albania,77.07,135.22
Pakistan,75.89,133.09
India,75.81,133.15
Philippines,74.47,130.9
Kazakhstan,74.25,135.31
Venezuela,73.88,130.79
Malta,73.75,129.25
Bahrain,73.33,132.98
Kenya,72.96,129.16
Georgia,72.46,131.0
Thailand,72.21,126.13
Kuwait,71.6,126.94
Jamaica,71.13,124.87
Zimbabwe,70.99,125.59
Turkey,69.15,121.22
Tunisia,68.16,118.74
Saudi Arabia,67.26,118.24
Trinidad And Tobago,66.96,115.79
Ukraine,66.63,115.57
Qatar,66.48,117.57
Hong Kong,66.39,118.19
Mexico,66.02,113.99
Morocco,65.71,113.93
Chile,65.54,120.58
Algeria,64.69,113.12
Tanzania,64.5,113.22
Bulgaria,63.98,115.84
Malaysia,63.74,109.25
Taiwan,63.47,110.59
Bosnia And Herzegovina,63.47,113.34
Russia,62.8,108.07
Indonesia,62.78,107.43
Panama,62.0,109.33
Colombia,61.74,110.82
Armenia,61.55,111.54
Serbia,58.86,101.4
Mauritius,58.48,100.39
Brazil,57.72,98.82
Sri Lanka,57.69,98.43
Israel,57.25,101.22
South Africa,56.95,97.14
Ecuador,56.89,96.96
Romania,55.39,93.6
South Korea,54.19,98.1
Cyprus,53.75,90.85
Italy,53.75,90.89
United Arab Emirates,53.11,90.82
Poland,52.38,92.97
Argentina,52.35,89.18
Greece,51.86,90.5
Costa Rica,50.21,87.05
Belgium,49.89,84.6
Puerto Rico,49.18,84.6
Uruguay,46.63,82.54
Hungary,46.47,79.89
Montenegro,45.23,76.9
France,42.7,71.32
Slovakia,41.89,70.72
Belarus,40.97,67.62
Czech Republic,40.96,69.06
Oman,39.51,64.12
United Kingdom,39.43,64.81
Spain,39.36,64.68
Japan,37.08,59.41
Latvia,34.96,56.68
United States,33.95,56.49
Singapore,32.29,54.68
Portugal,31.58,51.43
Ireland,31.12,52.0
Croatia,31.03,50.66
Lithuania,30.84,50.41
Germany,28.01,44.75
Canada,27.85,45.65
Netherlands,27.45,45.05
Slovenia,24.33,43.03
Australia,23.97,38.67
New Zealand,22.74,38.73
Luxembourg,22.61,33.95
Denmark,22.14,33.98
Switzerland,22.03,35.61
Austria,21.97,36.01
Norway,19.86,32.5
Estonia,18.15,30.43
Sweden,18.01,28.74
Iceland,15.24,26.81
Finland,11.93,21.0
